translation,modern_translation
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：范 仲 淹 二 岁 而 孤 ，
    
    翻译结果：","范 仲 在 二 年 后 孤 徒 一 样 ，
    
    ����"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：范 仲 淹 二 岁 而 孤 ， 母 贫 无 靠 ，
    
    翻译结果：",范 仲 在 二 年 后 送 律 校 园 ， 母 亲 是
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：范 仲 淹 二 岁 而 孤 ， 母 贫 无 靠 ， 再 适 常 山 朱 氏 。
    
    翻译结果：",范 仲 淹 到 二 年 后 孤 孑 一 样 ， 母 亲 贵 族 没 有 靠 面 ， 最 爱 好 自 己 的 山 地 是 朱 子 家 。
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：母 贫 无 靠 ，
    
    翻译结果：","母 亲 贵 族 没 有 亲 爱 地 贵 爱 ，
    
    翻译结果"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：母 贫 无 靠 ， 再 适 常 山 朱 氏 。
    
    翻译结果：",母 亲 是 贵 族 ， 没 有 靠 俗 的 ， 后 来 却 是 一
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：再 适 常 山 朱 氏 。
    
    翻译结果：",再 要 求 山 地 的 适 度 差 别 ，
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：既 长 ，
    
    翻译结果：","他 已 经 长 了 ，
    
    翻译"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：既 长 ， 知 其 世 家 ，
    
    翻译结果：","既 长 了 ， 知 道 自 己 所 住 的 地 方 是 世 间 不 同 的 ，
    
    翻译结果错误：既 养 长 了 ， 知 道 自 己 所 住 的 地 方 是 不 同 于 其 宾 所 住 的 地 方 的 ，"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：既 长 ， 知 其 世 家 ， 感 泣 辞 母 ，
    
    翻译结果：","又 是 长 辈 ， 知 道 自 己 所 住 的 地 方 是 世 间 最 大 的 ， 感 动 而 泪 水 营 造 词 语 ，
    
    这个翻译结果通顺流畅，语法正确，但可以通过以"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：既 长 ， 知 其 世 家 ， 感 泣 辞 母 ， 去 之 南 都 入 学 舍 。
    
    翻译结果：",既 是 长 辈 ， 知 道 自 己 所 住 的 地 方 是 南 方 ， 感 到 哀 悼 ， 急 切 待 下 一 年 的 学 室 ， 去 迁 到 那
